Area Served,Callsign,Frequency(kHz),Purpose,Site Id,Site Name,Lat_Deg,Lat_Hr,Lat_Min,Lon_Deg,Lon_Hr,Lon_Min,BSL,Licence Area,lat_dec,lon_dec
Ballarat,3BT,1314,Commercial,150827,83 Remembrance Drv CARDIGAN,37.0,32.0,23.0,143.0,46.0,42.0,10365,BALLARAT RA1,-36.46027777777778,143.77833333333334
Bendigo,,945,HPON,150878,Broadcast Site Loddon Valley Hwy  3 km NW of EAGLEHAWK,36.0,42.0,21.0,144.0,13.0,19.0,,,-35.29416666666666,144.22194444444446
Colac,3CS,1134,Commercial,150769,Corangamite Lake Rd ROSSMOYNE,38.0,19.0,19.0,143.0,32.0,1.0,4149,COLAC RA1,-37.67805555555555,143.5336111111111
Geelong,,1341,HPON,140284,Geelong Broadcasters Site Portalington Rd LEOPOLD,38.0,10.0,17.0,144.0,27.0,40.0,,,-37.828611111111115,144.4611111111111
Hamilton,3HA,981,Commercial,40479,Ace Radio Site 657 Mt Baimbridge Rd HAMILTON,37.0,41.0,5.0,142.0,1.0,11.0,4152,HAMILTON RA1,-36.31527777777778,142.01972222222224
Hamilton,3HA,981,Commercial,40479,Ace Radio Site 657 Mt Baimbridge Rd HAMILTON,37.0,41.0,5.0,142.0,1.0,11.0,4152,HAMILTON RA1,-36.31527777777778,142.01972222222224
Horsham,3WV,594,National,141107,Standby Mast Broadcast Australia Site Henty Hwy  9km NNE of HORSHAM,36.0,38.0,27.0,142.0,15.0,27.0,,,-35.35916666666667,142.2575
Horsham,3WV,594,National,40474,Broadcast Australia Site Cnr Henty Hwy and Dooen school Rd DOOEN,36.0,38.0,26.0,142.0,15.0,20.0,,,-35.35944444444444,142.25555555555556
Horsham,3WM,1089,Commercial,40371,3WM AM Site Murtoa-Glenorchy Rd LUBECK,36.0,44.0,32.0,142.0,31.0,12.0,4159,HORSHAM RA1,-35.257777777777775,142.52
Leigh Creek South,5LC,1602,National,151322,BAI Comms Site Lot 373 Leigh Creek Aerodrome Rd LEIGH CREEK,30.0,35.0,59.0,138.0,24.0,15.0,,,-29.400277777777777,138.40416666666667
Maryborough (Vic),3EL,1071,Commercial,150856,Broadcast Site McCallum St CARISBROOK,37.0,2.0,38.0,143.0,49.0,7.0,10368,MARYBOROUGH (VIC) RA1,-36.95611111111111,143.8186111111111
Melbourne,3RN,621,National,140388,Standby Mast  Broadcast Australia Site Sydenham Road DELAHEY,37.0,43.0,16.0,144.0,47.0,13.0,,,-36.278888888888886,144.78694444444443
Melbourne,3RN,621,National,40504,Main Mast  Broadcast Australia Site Sydenham Road DELAHEY,37.0,43.0,14.0,144.0,47.0,3.0,,,-36.279444444444444,144.78416666666666
Melbourne,3AW,693,Commercial,140290,Northwest AM Mast Radio 3AW P/L Site  Cnr Boundary Rd and Shanahans Rd MT COTTRELL,37.0,47.0,55.0,144.0,36.0,59.0,4140,MELBOURNE RA1,-36.20138888888889,144.61638888888888
Melbourne,3LO,774,National,140387,Standby Mast  Broadcast Australia Site Sydenham Road DELAHEY,37.0,43.0,6.0,144.0,47.0,6.0,,,-36.281666666666666,144.785
Melbourne,3LO,774,National,40504,Main Mast  Broadcast Australia Site Sydenham Road DELAHEY,37.0,43.0,14.0,144.0,47.0,3.0,,,-36.279444444444444,144.78416666666666
Melbourne,3CR,855,Community,100353,East Mast 3CR Site Old Sneydes Road WERRIBEE,37.0,53.0,11.0,144.0,42.0,16.0,4141,MELBOURNE RA1,-36.11361111111111,144.70444444444442
Melbourne,3UZ,927,Commercial,150806,Standby Mast Broadcast Australia Site Bonds Rd LOWER PLENTY,37.0,44.0,29.0,145.0,6.0,44.0,4145,MELBOURNE RA1,-36.25861111111111,145.11222222222221
Melbourne,3UZ,927,Commercial,102031,Main Mast Broadcast Australia Site Bonds Rd LOWER PLENTY,37.0,44.0,31.0,145.0,6.0,47.0,4145,MELBOURNE RA1,-36.25805555555556,145.11305555555555
Melbourne,3PB,1026,National,150806,Standby Mast Broadcast Australia Site Bonds Rd LOWER PLENTY,37.0,44.0,29.0,145.0,6.0,44.0,,,-36.25861111111111,145.11222222222221
Melbourne,3PB,1026,National,102031,Main Mast Broadcast Australia Site Bonds Rd LOWER PLENTY,37.0,44.0,31.0,145.0,6.0,47.0,,,-36.25805555555556,145.11305555555555
Melbourne,3AK,1116,Commercial,141187,Stawell Rd LOWER PLENTY,37.0,44.0,41.0,145.0,6.0,37.0,4139,MELBOURNE RA1,-36.25527777777778,145.11027777777778
Melbourne,3RPH,1179,Community,150806,Standby Mast Broadcast Australia Site Bonds Rd LOWER PLENTY,37.0,44.0,29.0,145.0,6.0,44.0,3540,VICTORIAN COMMUNITY RA1,-36.25861111111111,145.11222222222221
Melbourne,3RPH,1179,Community,102031,Main Mast Broadcast Australia Site Bonds Rd LOWER PLENTY,37.0,44.0,31.0,145.0,6.0,47.0,3540,VICTORIAN COMMUNITY RA1,-36.25805555555556,145.11305555555555
Melbourne,3EA,1224,National,150818,226-252 Patullos Ln ROXBURGH PARK,37.0,37.0,9.0,144.0,56.0,2.0,,,-36.380833333333335,144.9338888888889
Melbourne,3EE,1278,Commercial,40523,Broadcast Site LOWER PLENTY,37.0,44.0,42.0,145.0,6.0,38.0,4146,MELBOURNE RA1,-36.255,145.11055555555555
Melbourne,3MP,1377,Commercial,41700,Western AM Mast Malbend P/L  Off George Knox Drive ROWVILLE,37.0,56.0,1.0,145.0,13.0,2.0,4144,MELBOURNE RA1,-36.066388888888895,145.21722222222223
Melbourne,3MP,1377,Commercial,41700,Western AM Mast Malbend P/L  Off George Knox Drive ROWVILLE,37.0,56.0,1.0,145.0,13.0,2.0,4144,MELBOURNE RA1,-36.066388888888895,145.21722222222223
Melbourne,,1422,HPON,140383,HPON AM 46m Mast  Radio Hellas Site off Dohertys Rd TRUGANINA,37.0,49.0,42.0,144.0,45.0,32.0,,,-36.17166666666667,144.7588888888889
Melbourne,3KND,1503,Community,141187,Stawell Rd LOWER PLENTY,37.0,44.0,41.0,145.0,6.0,37.0,1150722,MELBOURNE RA1,-36.25527777777778,145.11027777777778
Melbourne,,1593,HPON,41342,Rete Italia AM 46m Array Midpoint  Gumnut Nominees Site 55 Oherns Rd EPPING,37.0,38.0,19.0,145.0,1.0,7.0,,,-36.36138888888889,145.0186111111111
Mildura/Sunraysia,,1359,HPON,502343,Community Radio Site 6 Byrne Court MILDURA,34.0,11.0,57.0,142.0,10.0,21.0,,,-33.80083333333334,142.17249999999999
Mildura/Sunraysia,3ML,1467,Commercial,141103,Broadcast Site Lake Ranfurly off Flora Ave  3km NNW of MILDURA,34.0,10.0,43.0,142.0,7.0,20.0,10098,MILDURA RA1,-33.82138888888889,142.12222222222223
Mount Gambier,5MG,1476,National,23876,Broadcast Australia Site 58 Crouch Street North MOUNT GAMBIER,37.0,49.0,28.0,140.0,47.0,25.0,,,-36.175555555555555,140.7902777777778
Naracoorte,5PA,1161,National,141094,Standby Mast BA Site Donohughes Lane off Messamurray Rd STEWART RANGE,36.0,56.0,25.0,140.0,40.0,23.0,,,-35.05972222222223,140.67305555555555
Naracoorte,5PA,1161,National,150863,Broadcast Australia Site Donohughes Ln off Messamurray Rd STEWART RANGE,36.0,56.0,25.0,140.0,40.0,13.0,,,-35.05972222222223,140.67027777777776
Omeo,3MT,720,National,40508,Broadcast Site 407 Tongio Gap Rd OMEO,37.0,8.0,47.0,147.0,39.0,18.0,,,-36.853611111111114,147.655
Port Lincoln,5CC,765,Commercial,24879,Lincoln Hwy 8.7km NNE of LIPSON,34.0,14.0,18.0,136.0,12.0,9.0,1639,PORT LINCOLN RA1,-33.76166666666666,136.2025
Port Lincoln,5LN,1485,National,141033,Standby array Broadcast Australia Site 69A Cardiff Rd PORT LINCOLN,34.0,43.0,45.0,135.0,52.0,44.0,,,-33.27083333333333,135.8788888888889
Port Lincoln,5LN,1485,National,141032,Broadcast Australia Site 69A Cardiff Rd PORT LINCOLN,34.0,43.0,46.0,135.0,52.0,46.0,,,-33.27055555555555,135.87944444444446
Port Pirie,5CK,639,National,141209,Standby Mast BA Site Huddleston Rd  5km ENE of CRYSTAL BROOK,33.0,20.0,44.0,138.0,14.0,60.0,,,-32.654444444444444,138.25
Port Pirie,5CK,639,National,24593,BA Site Huddleston Rd  5km ENE of CRYSTAL BROOK,33.0,20.0,41.0,138.0,15.0,14.0,,,-32.655277777777776,138.2538888888889
Port Pirie,5AU,1044,Commercial,141422,5AU Standby AM Mast 1142 Georgetown-Huddleston Rd HUDDLESTON,33.0,19.0,35.0,138.0,16.0,37.0,4193,SPENCER GULF NORTH RA1,-32.67361111111111,138.27694444444447
Port Pirie,5AU,1044,Commercial,152608,1142 Georgetown-Huddleston Rd HUDDLESTON,33.0,19.0,34.0,138.0,16.0,37.0,4193,SPENCER GULF NORTH RA1,-32.67388888888888,138.27694444444447
Renmark/Loxton,5RM,801,Commercial,24149,Broadcast Site Off Sturt Hwy  12km SW of RENMARK,34.0,13.0,42.0,140.0,38.0,36.0,10178,RIVERLAND RA1,-33.77166666666667,140.64333333333332
Renmark/Loxton,5MV,1062,National,141034,Broadcast Australia Site cnr Old Sturt Hwy and Riverview Drv BERRI,34.0,15.0,55.0,140.0,36.0,57.0,,,-33.734722222222224,140.61583333333334
Renmark/Loxton,5MV,1062,National,24148,Broadcast Australia Site Riverview Drv  2.5km NNE of BERRI,34.0,15.0,56.0,140.0,36.0,52.0,,,-33.73444444444444,140.61444444444444
Renmark/Loxton,5RN,1305,National,141034,Broadcast Australia Site cnr Old Sturt Hwy and Riverview Drv BERRI,34.0,15.0,55.0,140.0,36.0,57.0,,,-33.734722222222224,140.61583333333334
Renmark/Loxton,5RN,1305,National,24148,Broadcast Australia Site Riverview Drv  2.5km NNE of BERRI,34.0,15.0,56.0,140.0,36.0,52.0,,,-33.73444444444444,140.61444444444444
Renmark/Loxton,,1557,HPON,24149,Broadcast Site Off Sturt Hwy  12km SW of RENMARK,34.0,13.0,42.0,140.0,38.0,36.0,,,-33.77166666666667,140.64333333333332
Sale,3GI,828,National,141176,Standby Mast  Broadcast Australia Site Seaspray Rd  3km SSE of LONGFORD,38.0,11.0,11.0,147.0,5.0,38.0,,,-37.813611111111115,147.0938888888889
Sale,3GI,828,National,12062,Main Mast  Broadcast Australia Site Seaspray Rd  3km SSE of LONGFORD,38.0,11.0,18.0,147.0,5.0,43.0,,,-37.81166666666667,147.0952777777778
Sale,3GV,1242,Commercial,140378,Maffra-Sale Rd (near cnr of Myrtlebank Rd) MYRTLEBANK,38.0,3.0,36.0,147.0,1.0,44.0,4157,SALE RA1,-37.940000000000005,147.0288888888889
Shepparton,3SR,1260,Commercial,150891,Broadcast Site Old Dookie Rd 12 km E of SHEPPARTON,36.0,22.0,44.0,145.0,32.0,15.0,10393,SHEPPARTON RA1,-35.62111111111111,145.5375
Shepparton,,1413,HPON,150891,Broadcast Site Old Dookie Rd 12 km E of SHEPPARTON,36.0,22.0,44.0,145.0,32.0,15.0,,,-35.62111111111111,145.5375
Streaky Bay,5SY,693,National,141011,Standby AM Antenna BAI Comms Site  29 Stanley Williams Rd STREAKY BAY,32.0,45.0,29.0,134.0,11.0,19.0,,,-31.241944444444446,134.18861111111113
Streaky Bay,5SY,693,National,151182,SW AM Mast BAI Comms Site  29 Stanley Williams Rd STREAKY BAY,32.0,45.0,29.0,134.0,11.0,27.0,,,-31.241944444444446,134.19083333333333
Swan Hill,3SH,1332,Commercial,40555,Ace Bcasters Site 5055 Murray Valley Hwy CASTLE DONNINGTON,35.0,24.0,30.0,143.0,34.0,55.0,10380,SWAN HILL RA1,-34.59166666666667,143.58194444444445
Wangaratta,3RN,756,National,40538,Broadcast Australia Site 167 Richardson Rd DOCKERS PLAINS,36.0,16.0,17.0,146.0,18.0,40.0,,,-35.728611111111114,146.31111111111113
Wangaratta,3NE,1566,Commercial,40559,Cnr Wangaratta Main Rd & Federation Way BOWSER,36.0,18.0,47.0,146.0,22.0,19.0,10398,WANGARATTA RA1,-35.68694444444445,146.37194444444447
Warragul,3GG,531,Commercial,40534,Brandy Ck Rd (cnr of Old Sale Rd) BULN BULN,38.0,6.0,15.0,145.0,55.0,33.0,4158,WARRAGUL RA1,-37.89583333333333,145.92583333333332
Warrnambool,3RPH,882,Community,153566,Mast  Regional Comms Site 134 Blighs Rd PURNIM,38.0,14.0,26.0,142.0,36.0,49.0,3540,VICTORIAN COMMUNITY RA1,-37.75944444444444,142.6136111111111
Warrnambool,3WL,1602,National,150760,Broadcast Australia Site 143 Mortlake Rd WARRNAMBOOL,38.0,21.0,41.0,142.0,29.0,50.0,,,-37.63861111111111,142.4972222222222
Woomera,5WM,1584,National,151286,Dept Defence Site Kotara Cres WOOMERA,31.0,12.0,0.0,136.0,49.0,37.0,,,-30.8,136.82694444444445
Adelaide,5ADL,91.9,Commercial,23139,Broadcast Australia Site Summit Road CRAFERS,34.0,58.0,44.0,138.0,42.0,31.0,1150783,ADELAIDE RA1,-33.02111111111111,138.7086111111111
Adelaide,5FBI,92.7,Community,23158,FM tower Broadcast Australia site Summit Road CRAFERS,34.0,58.0,48.0,138.0,42.0,28.0,1150740,ADELAIDE RA1,-33.019999999999996,138.70777777777778
Adelaide,5DDD,93.7,Community,23158,FM tower Broadcast Australia site Summit Road CRAFERS,34.0,58.0,48.0,138.0,42.0,28.0,3076,ADELAIDE RA1,-33.019999999999996,138.70777777777778
Adelaide,5UV,101.5,Community,23139,Broadcast Australia Site Summit Road CRAFERS,34.0,58.0,44.0,138.0,42.0,31.0,4229,ADELAIDE RA1,-33.02111111111111,138.7086111111111
Adelaide,5ADD,102.3,Commercial,23132,TXA NWS Site Tower 109 Summit Road CRAFERS,34.0,58.0,57.0,138.0,42.0,30.0,4191,ADELAIDE RA1,-33.0175,138.70833333333331
Adelaide,5EBI,103.1,Community,23158,FM tower Broadcast Australia site Summit Road CRAFERS,34.0,58.0,48.0,138.0,42.0,28.0,3074,ADELAIDE RA1,-33.019999999999996,138.70777777777778
Adelaide,5ABCFM,103.9,National,23139,Broadcast Australia Site Summit Road CRAFERS,34.0,58.0,44.0,138.0,42.0,31.0,,,-33.02111111111111,138.7086111111111
Adelaide,5MMM,104.7,Commercial,23181,TXA Crafers Site Tower 115 Mount Lofty Summit Road CRAFERS,34.0,58.0,52.0,138.0,42.0,29.0,4192,ADELAIDE RA1,-33.01888888888889,138.70805555555555
Adelaide,5MMM,104.7,Commercial,9024286,Southern Cross Austereo 70 Franklin Street ADELAIDE,34.0,55.0,40.0,138.0,35.0,49.0,4192,ADELAIDE RA1,-33.07222222222222,138.59694444444446
Adelaide,5MMM,104.7,Commercial,23132,TXA NWS Site Tower 109 Summit Road CRAFERS,34.0,58.0,57.0,138.0,42.0,30.0,4192,ADELAIDE RA1,-33.0175,138.70833333333331
Adelaide,5JJJ,105.5,National,23139,Broadcast Australia Site Summit Road CRAFERS,34.0,58.0,44.0,138.0,42.0,31.0,,,-33.02111111111111,138.7086111111111
Adelaide,5SBSFM,106.3,National,23139,Broadcast Australia Site Summit Road CRAFERS,34.0,58.0,44.0,138.0,42.0,31.0,,,-33.02111111111111,138.7086111111111
Adelaide,5SSA,107.1,Commercial,23132,TXA NWS Site Tower 109 Summit Road CRAFERS,34.0,58.0,57.0,138.0,42.0,30.0,3037,ADELAIDE RA1,-33.0175,138.70833333333331
Adelaide,5SSA,107.1,Commercial,23132,TXA NWS Site Tower 109 Summit Road CRAFERS,34.0,58.0,57.0,138.0,42.0,30.0,3037,ADELAIDE RA1,-33.0175,138.70833333333331
Adelaide,5SSA,107.1,Commercial,9024286,Southern Cross Austereo 70 Franklin Street ADELAIDE,34.0,55.0,40.0,138.0,35.0,49.0,3037,ADELAIDE RA1,-33.07222222222222,138.59694444444446
Adelaide,5SSA,107.1,Commercial,23181,TXA Crafers Site Tower 115 Mount Lofty Summit Road CRAFERS,34.0,58.0,52.0,138.0,42.0,29.0,3037,ADELAIDE RA1,-33.01888888888889,138.70805555555555
Adelaide,5RAM,107.9,Community,23139,Broadcast Australia Site Summit Road CRAFERS,34.0,58.0,44.0,138.0,42.0,31.0,5269,ADELAIDE RA1,-33.02111111111111,138.7086111111111
Adelaide Foothills,5SSA,90.3,Commercial,22155,Broadcast Site 77 Grenfell Street ADELAIDE,34.0,55.0,29.0,138.0,36.0,10.0,3037,ADELAIDE RA1,-33.07527777777778,138.60277777777776
Adelaide Foothills,5SSA/T,90.3,Commercial,22155,Broadcast Site 77 Grenfell Street ADELAIDE,34.0,55.0,29.0,138.0,36.0,10.0,3037,ADELAIDE RA1,-33.07527777777778,138.60277777777776
Adelaide Foothills,5SBSFM,95.1,National,22155,Broadcast Site 77 Grenfell Street ADELAIDE,34.0,55.0,29.0,138.0,36.0,10.0,,,-33.07527777777778,138.60277777777776
Adelaide Foothills,5JJJ,95.9,National,22155,Broadcast Site 77 Grenfell Street ADELAIDE,34.0,55.0,29.0,138.0,36.0,10.0,,,-33.07527777777778,138.60277777777776
Adelaide Foothills,5ADD,96.7,Commercial,22155,Broadcast Site 77 Grenfell Street ADELAIDE,34.0,55.0,29.0,138.0,36.0,10.0,4191,ADELAIDE RA1,-33.07527777777778,138.60277777777776
Adelaide Foothills,5ABCFM,97.5,National,22155,Broadcast Site 77 Grenfell Street ADELAIDE,34.0,55.0,29.0,138.0,36.0,10.0,,,-33.07527777777778,138.60277777777776
Adelaide Foothills,5MMM,98.3,Commercial,22155,Broadcast Site 77 Grenfell Street ADELAIDE,34.0,55.0,29.0,138.0,36.0,10.0,4192,ADELAIDE RA1,-33.07527777777778,138.60277777777776
Adelaide Foothills,5ADL,99.1,Commercial,22155,Broadcast Site 77 Grenfell Street ADELAIDE,34.0,55.0,29.0,138.0,36.0,10.0,1150783,ADELAIDE RA1,-33.07527777777778,138.60277777777776
Adelaide Foothills,5MBS,99.9,Community,22642,461 Belair Road BELAIR,34.0,59.0,52.0,138.0,37.0,23.0,1150742,ADELAIDE FOOTHILLS RA1,-33.00222222222222,138.62305555555557
Adelaide SW Suburbs,5CST,88.7,Community,23192,Hall Site Majors Road TROTT PARK,35.0,3.0,18.0,138.0,32.0,21.0,5316,ADELAIDE SW RA1,-34.945,138.53916666666666
Albury,2AAY,104.9,Commercial,11949,Broadcast Australia Tower Mt Baranduda  623 Ewarts Rd LENEVA,36.0,15.0,13.0,146.0,51.0,18.0,10289,ALBURY RA1,-35.74638888888889,146.855
Albury,2BDR,105.7,Commercial,11949,Broadcast Australia Tower Mt Baranduda  623 Ewarts Rd LENEVA,36.0,15.0,13.0,146.0,51.0,18.0,1150011,ALBURY RA1,-35.74638888888889,146.855
Alexandra,3ABCRR,102.9,National,40660,Broadcast Site Burgess Rd YARCK,37.0,4.0,36.0,145.0,34.0,23.0,,,-36.92333333333333,145.57305555555556
Alexandra,3ABCRN,104.5,National,40660,Broadcast Site Burgess Rd YARCK,37.0,4.0,36.0,145.0,34.0,23.0,,,-36.92333333333333,145.57305555555556
Alexandra/Eildon,3SUN,93.7,Commercial,42163,Dept of Conservation Site DEVILS RIVER,37.0,12.0,33.0,145.0,50.0,30.0,10389,SHEPPARTON RA1,-36.79083333333333,145.84166666666667
Alexandra/Eildon,3UGE,106.9,Community,42163,Dept of Conservation Site DEVILS RIVER,37.0,12.0,33.0,145.0,50.0,30.0,10411,ALEXANDRA/EILDON RA1,-36.79083333333333,145.84166666666667
Alexandra/Eildon,3UGE,106.9,Community,137846,3UGE Studios 37A Perkins Street ALEXANDRA,37.0,11.0,28.0,145.0,42.0,37.0,10411,ALEXANDRA/EILDON RA1,-36.808888888888895,145.71027777777778
Amata,5ACR,106.1,Community,153308,PY Media Site 54 Purara St AMATA,26.0,9.0,0.0,131.0,8.0,46.0,10150,AMATA RA1,-25.85,131.1461111111111
Andamooka,5ABCRR,105.9,National,25545,Telstra Site Hallion Hill Rd ANDAMOOKA,30.0,28.0,24.0,137.0,9.0,60.0,,,-29.526666666666667,137.16666666666669
Andamooka,5ABCRN,107.5,National,25545,Telstra Site Hallion Hill Rd ANDAMOOKA,30.0,28.0,24.0,137.0,9.0,60.0,,,-29.526666666666667,137.16666666666669
Angaston,5ABCFM,90.7,Retransmission,24206,Council Site Water Tank Tappa Pass ANGASTON,34.0,29.0,43.0,139.0,3.0,43.0,,,-33.50472222222222,139.06194444444446
Angaston,5SBSFM,92.3,Retransmission,24206,Council Site Water Tank Tappa Pass ANGASTON,34.0,29.0,43.0,139.0,3.0,43.0,,,-33.50472222222222,139.06194444444446
Angaston,5DN,94.7,Retransmission,24206,Council Site Water Tank Tappa Pass ANGASTON,34.0,29.0,43.0,139.0,3.0,43.0,,,-33.50472222222222,139.06194444444446
Apollo Bay,3OCR,88.7,Community,142289,Apollo Bay Shire Office 69 Nelson Street APOLLO BAY,38.0,45.0,33.0,143.0,39.0,51.0,1150491,COLAC RA1,-37.240833333333335,143.66416666666666
Apollo Bay,3ABCRR,89.5,National,140223,BAI Comms Site 30 Roberts Rd MARENGO,38.0,46.0,48.0,143.0,39.0,5.0,,,-37.22,143.6513888888889
Apollo Bay,3CCS,95.9,Commercial,36808,Comms Site off Skenes Creek Rd TANYBRYN,38.0,40.0,23.0,143.0,43.0,22.0,10309,COLAC RA1,-37.32694444444445,143.7227777777778
Apollo Bay,8SAT,97.9,Commercial,140223,BAI Comms Site 30 Roberts Rd MARENGO,38.0,46.0,48.0,143.0,39.0,5.0,10147,REMOTE COMMERCIAL RADIO SERVICE CENTRAL ZONE RA1,-37.22,143.6513888888889
Ararat,,92.9,HPON,11729,Telstra Radio Terminal Site One Tree Hill Rd ARARAT,37.0,16.0,13.0,142.0,53.0,31.0,,,-36.72972222222222,142.89194444444445
Ararat,3WM,96.1,Commercial,10023126,ACE Broadcast Site One Tree Hill Road ARARAT,37.0,15.0,54.0,142.0,53.0,24.0,4159,HORSHAM RA1,-36.735,142.89
Ararat,3WWM,98.5,Commercial,10023126,ACE Broadcast Site One Tree Hill Road ARARAT,37.0,15.0,54.0,142.0,53.0,24.0,10308,HORSHAM RA1,-36.735,142.89
Arthurton,5GFM,89.3,Community,142576,Broadcast Site Lot 649 Kadina Road KADINA,33.0,56.0,54.0,137.0,40.0,14.0,1150769,YORKE PENINSULA RA1,-32.05166666666667,137.67055555555555
Bacchus Marsh,3APL,98.5,Community,152917,Broadcast Site Bacchus Marsh Rifle Club Dog Trap Rd GORROCK,37.0,41.0,21.0,144.0,22.0,37.0,1150675,BACCHUS MARSH RA1,-36.310833333333335,144.37694444444446
Bacchus Marsh,3APL,98.5,Community,10008393,Darley Community Hub Building 3 182 Halletts Way DARLEY,37.0,39.0,12.0,144.0,25.0,21.0,1150675,BACCHUS MARSH RA1,-36.34666666666667,144.42249999999999
Bairnsdale,,97.5,HPON,12067,Broadcast Australia Site off Tower Rd MT TAYLOR,37.0,42.0,20.0,147.0,33.0,38.0,,,-36.294444444444444,147.56055555555557
Bairnsdale,3GV,98.3,Commercial,140959,Broadcast Tower  Ace Radio Site off Tower Rd MOUNT TAYLOR,37.0,42.0,22.0,147.0,33.0,38.0,4157,SALE RA1,-36.29388888888889,147.56055555555557
Bairnsdale,3TFM,99.9,Commercial,140959,Broadcast Tower  Ace Radio Site off Tower Rd MOUNT TAYLOR,37.0,42.0,22.0,147.0,33.0,38.0,1150756,SALE RA1,-36.29388888888889,147.56055555555557
Bairnsdale,3REG,105.5,Community,12067,Broadcast Australia Site off Tower Rd MT TAYLOR,37.0,42.0,20.0,147.0,33.0,38.0,5266,EAST GIPPSLAND RA1,-36.294444444444444,147.56055555555557
Bairnsdale,3ABCRN,106.3,National,12067,Broadcast Australia Site off Tower Rd MT TAYLOR,37.0,42.0,20.0,147.0,33.0,38.0,,,-36.294444444444444,147.56055555555557
Bairnsdale,3PNN,107.9,National,12067,Broadcast Australia Site off Tower Rd MT TAYLOR,37.0,42.0,20.0,147.0,33.0,38.0,,,-36.294444444444444,147.56055555555557
Ballarat (Lookout Hill),3ABCFM,105.5,National,36240,Broadcast Tower LOOKOUT HILL,37.0,16.0,57.0,143.0,14.0,52.0,,,-36.7175,143.24777777777777
Ballarat (Lookout Hill),3JJJ,107.1,National,36240,Broadcast Tower LOOKOUT HILL,37.0,16.0,57.0,143.0,14.0,52.0,,,-36.7175,143.24777777777777
Ballarat (Lookout Hill),3CRR,107.9,National,36240,Broadcast Tower LOOKOUT HILL,37.0,16.0,57.0,143.0,14.0,52.0,,,-36.7175,143.24777777777777
Ballarat (Warrenheip),3PNN,94.3,National,150365,Radio Ballarat Site 9 km E of Ballarat MT WARRENHEIP,37.0,34.0,31.0,143.0,57.0,37.0,,,-36.42472222222222,143.96027777777778
Ballarat (Warrenheip),3SBSFM,95.9,Retransmission,11727,Vertel Tower Mt Warrenheip  Lot 2045  Mt Warrenheip Rd DUNNSTOWN,37.0,34.0,36.0,143.0,57.0,27.0,,,-36.42333333333333,143.95749999999998
Ballarat (Warrenheip),3BBB,99.9,Community,11727,Vertel Tower Mt Warrenheip  Lot 2045  Mt Warrenheip Rd DUNNSTOWN,37.0,34.0,36.0,143.0,57.0,27.0,1150001,BALLARAT RA2,-36.42333333333333,143.95749999999998
Ballarat (Warrenheip),3RBA,102.3,Commercial,150365,Radio Ballarat Site 9 km E of Ballarat MT WARRENHEIP,37.0,34.0,31.0,143.0,57.0,37.0,10364,BALLARAT RA1,-36.42472222222222,143.96027777777778
